prop_type,city,postal_code,lat,lon,size (sqft),price
single_family,Rochester,14617,43.199023,-77.602789,1176,139900
single_family,Rochester,14617,43.231871,-77.602108,1928,169900
single_family,Rochester,14617,43.20163,-77.605611,1116,139900
single_family,Rochester,14617,43.2363,-77.586482,1556,209900
single_family,Rochester,14617,43.217189,-77.59893,1507,155000
single_family,Rochester,14617,43.201839,-77.597217,1430,174900
single_family,Rochester,14617,43.254126,-77.60132,1042,299900
single_family,Rochester,14617,43.20915,-77.607151,1694,164900
single_family,Rochester,14617,43.236619,-77.587375,1826,224900
condo,Rochester,14617,43.255293,-77.602396,1186,109900
single_family,Rochester,14617,43.206377,-77.588834,1148,155000
single_family,Rochester,14617,43.245391,-77.599747,1404,189900
single_family,Rochester,14617,43.245926,-77.601536,1561,159900
single_family,Rochester,14617,43.214811,-77.596465,1656,175000
single_family,Rochester,14617,43.21366,-77.602627,1247,150000
land,Rochester,NA,43.219321,-77.583973,NA,24900
single_family,Rochester,14617,43.238055,-77.609101,2718,319900
single_family,Rochester,14617,43.243731,-77.594049,1056,124900
land,Rochester,NA,43.251617,-77.59348,NA,249900
land,Rochester,NA,43.226306,-77.592885,NA,14950
