prop_type,city,postal_code,lat,lon,size (sqft),price
single_family,Colorado Springs,80911,38.764404,-104.747078,1548,345000
single_family,Colorado Springs,80911,38.753745,-104.724635,2995,375000
condo,Colorado Springs,80911,38.769626,-104.742549,1764,265000
single_family,Colorado Springs,80911,38.764323,-104.711004,2155,420000
single_family,Colorado Springs,80911,38.759378,-104.735091,1301,309900
single_family,Colorado Springs,80911,38.727435,-104.718492,1692,332000
single_family,Colorado Springs,80911,38.75853,-104.731156,3084,399900
single_family,Colorado Springs,80911,38.736655,-104.694751,1844,315000
single_family,Colorado Springs,80911,38.765025,-104.707984,2622,406100
single_family,Colorado Springs,80911,38.732889,-104.719213,1620,280000
condo,Colorado Springs,80911,38.736956,-104.704619,764,180000
single_family,Colorado Springs,80911,38.73327,-104.716481,2310,335000
single_family,Colorado Springs,80911,38.767792,-104.752524,1546,315000
condo,Colorado Springs,80911,38.736861,-104.702229,953,204900
single_family,Colorado Springs,80911,38.767545,-104.758126,1826,329900
single_family,Colorado Springs,80911,38.722234,-104.685247,1881,343000
single_family,Colorado Springs,80911,38.765175,-104.715054,2970,435000
single_family,Colorado Springs,80911,38.747192,-104.731795,1800,310000
single_family,Colorado Springs,80911,38.765425,-104.730241,2584,389000
single_family,Colorado Springs,80911,38.751206,-104.724949,2317,450950
single_family,Colorado Springs,80911,38.764846,-104.75256,936,309000
single_family,Colorado Springs,80911,38.758334,-104.724837,1283,300000
condo,Colorado Springs,80911,38.737015,-104.702684,1178,212000
single_family,Colorado Springs,80911,38.751206,-104.724949,2317,468000
single_family,Colorado Springs,80911,38.757834,-104.724706,1964,375000
single_family,Colorado Springs,80911,38.730415,-104.709207,2513,375000
single_family,Colorado Springs,80911,38.733581,-104.695917,1081,279900
single_family,Colorado Springs,80911,38.72611,-104.691827,1208,300000
single_family,Colorado Springs,80911,38.730145,-104.699331,2147,270000
single_family,Colorado Springs,80911,38.751206,-104.724949,2822,473750
single_family,Colorado Springs,80911,38.751206,-104.724949,2317,453750
single_family,Colorado Springs,80911,38.759897,-104.740047,1131,309000
single_family,Colorado Springs,80911,38.766049,-104.730117,2569,370000
single_family,Colorado Springs,80911,38.75892,-104.72707,2128,350000
single_family,Colorado Springs,80911,38.751206,-104.724949,2822,470950
single_family,Colorado Springs,80911,38.764012,-104.707848,1920,350000
single_family,Colorado Springs,80911,38.751206,-104.724949,2822,457482
single_family,Colorado Springs,80911,38.751206,-104.724949,2317,457197
single_family,Colorado Springs,80911,38.741996,-104.73062,1072,239999
single_family,Colorado Springs,80911,38.734499,-104.709055,2018,350000
single_family,Colorado Springs,80911,38.751206,-104.724949,2822,494557
single_family,Colorado Springs,80911,38.751206,-104.724949,2317,435950
single_family,Colorado Springs,80911,38.751206,-104.724949,2822,454200
single_family,Colorado Springs,80911,38.730373,-104.706611,1890,389900
single_family,Colorado Springs,80911,38.76229824,-104.7180916,3192,442326
single_family,Colorado Springs,80911,38.76000162,-104.7176697,3049,473075
single_family,Colorado Springs,80911,38.764369,-104.727892,1748,315000
single_family,Colorado Springs,80911,38.727698,-104.704027,1714,270000
