,prop_type,city,postal_code,lat,lon,size (sqft),price
0,single_family,Melrose,02176,42.458053,-71.074412,798,419000
1,single_family,Melrose,02176,42.452027,-71.076076,2030,779900
2,single_family,Melrose,02176,42.446623,-71.05533,1729,539000
3,single_family,Melrose,02176,42.455957,-71.056332,1693,779900
4,single_family,Melrose,02176,42.457929,-71.059494,2168,719000
5,single_family,Melrose,02176,42.452316,-71.057785,1588,725000
6,multi_family,Melrose,02176,42.469745,-71.075699,2184,679000
7,multi_family,Melrose,02176,42.456882,-71.076135,2440,1097800
8,single_family,Melrose,02176,42.468961,-71.072638,3713,1089000
9,condo,Melrose,02176,42.456877,-71.07609,1268,554900
10,single_family,Melrose,02176,42.453202,-71.04754,1542,699900
11,condo,Melrose,02176,42.456877,-71.07609,1172,542900
12,single_family,Melrose,02176,42.464963,-71.060786,1310,325000
13,single_family,Melrose,02176,42.451154,-71.077674,1470,745000
14,single_family,Melrose,02176,42.465961,-71.053738,2411,999000
15,condo,Melrose,02176,42.465087,-71.06393,804,349900
16,single_family,Melrose,02176,42.45824,-71.060777,1723,699900
17,condo,Melrose,02176,42.463504,-71.069903,880,499000
18,condo,Melrose,02176,42.45299,-71.060084,1704,574900
19,single_family,Melrose,02176,42.457169,-71.058331,1562,870000
20,multi_family,Melrose,02176,42.469034,-71.07154,3570,949900
21,single_family,Melrose,02176,42.456996,-71.072581,1864,699900
22,condo,Melrose,02176,42.457052,-71.06724,1052,619900
23,condo,Melrose,02176,42.455705,-71.068544,705,389000
24,single_family,Melrose,02176,42.448467,-71.058216,2252,624900
25,condo,Melrose,02176,42.45742,-71.055176,938,385000
26,single_family,Melrose,02176,42.46047,-71.05275,1727,789900
27,single_family,Melrose,02176,42.460042,-71.039006,5184,1385000
28,single_family,Melrose,02176,42.444468,-71.045659,3800,1835000
29,single_family,Melrose,02176,42.46175,-71.070848,2492,699900
30,multi_family,Melrose,02176,42.458355,-71.061903,1572,929000
31,single_family,Melrose,02176,42.470053,-71.069586,1872,795000
32,land,Melrose,NA,42.474928,-71.069555,NA,795000
