prop_type,city,postal_code,lat,lon,size (sqft),price
single_family,Topeka,66614,39.01162,-95.741045,1375,98000
single_family,Topeka,66614,39.008382,-95.714342,2663,215000
single_family,Topeka,66614,39.01521,-95.72985,1088,94900
single_family,Topeka,66614,39.006766,-95.749649,2007,245000
single_family,Topeka,66614,39.00114,-95.71925,1673,167500
single_family,Topeka,66614,39.021419,-95.730102,1076,149500
single_family,Topeka,66614,39.015014,-95.788546,1829,200000
single_family,Topeka,66614,39.002106,-95.795848,3866,499000
single_family,Topeka,66614,39.005362,-95.726056,950,134995
single_family,Topeka,66614,39.014723,-95.79256,2506,293500
land,Topeka,NA,39.014085,-95.795571,NA,35000
land,Topeka,NA,39.014085,-95.795571,NA,36900
land,Topeka,NA,39.014085,-95.795571,NA,41900
land,Topeka,NA,39.022432,-95.799133,NA,33900
land,Topeka,NA,39.023787,-95.798447,NA,37900
single_family,Topeka,66614,39.014085,-95.795571,2541,399900
single_family,Topeka,66614,39.014085,-95.795571,2541,389900
single_family,Topeka,66614,39.014085,-95.795571,2034,335000
single_family,Topeka,66614,39.014085,-95.795571,2482,355000
single_family,Topeka,66614,39.014085,-95.795571,1540,335000
single_family,Topeka,66614,39.022417,-95.800484,2870,417742
single_family,Topeka,66614,39.014085,-95.795571,3146,478800
