,prop_type,city,postal_code,lat,lon,size (sqft),price
0,condo,Raleigh,27604,35.786735,-78.634707,2227,549900
1,condo,Raleigh,27604,35.786735,-78.634707,1375,450000
2,single_family,Raleigh,27604,35.835004,-78.574399,1480,259900
3,single_family,Raleigh,27604,35.834159,-78.576322,1178,229900
4,condo,Raleigh,27604,35.820716,-78.567457,1611,210000
5,condo,Raleigh,27604,35.829652,-78.589438,1069,159900
6,single_family,Raleigh,27604,35.800331,-78.610382,2348,519900
7,single_family,Raleigh,27604,35.808158,-78.559991,1467,265000
8,condo,Raleigh,27604,35.841831,-78.594618,1192,140000
9,single_family,Raleigh,27604,35.795539,-78.61985,2860,685000
10,single_family,Raleigh,27604,35.806355,-78.548817,2244,325000
11,single_family,Raleigh,27604,35.803719,-78.549974,1503,285000
12,single_family,Raleigh,27604,35.835268,-78.502117,2294,449900
13,condo,Raleigh,27604,35.794304,-78.633614,1168,330000
14,land,Raleigh,NA,35.800107,-78.621153,NA,330000
15,condo,Raleigh,27604,35.812286,-78.535528,1320,195000
16,condo,Raleigh,27604,35.813015,-78.541647,1156,180000
17,single_family,Raleigh,27604,35.792227,-78.623336,3746,1100000
18,single_family,Raleigh,27604,35.797602,-78.633774,2500,742000
19,single_family,Raleigh,27604,35.841427,-78.585512,1780,250000
20,single_family,Raleigh,27604,35.807831,-78.563317,1404,235000
21,single_family,Raleigh,27604,35.81721,-78.581304,1486,225000
22,condo,Raleigh,27604,35.813427,-78.545582,1448,225000
23,single_family,Raleigh,27604,35.817916,-78.583826,1222,239900
24,condo,Raleigh,27604,35.831555,-78.558078,1715,289900
25,single_family,Raleigh,27604,35.814687,-78.555713,2521,320000
26,single_family,Raleigh,27604,35.824498,-78.598026,1235,275000
27,single_family,Raleigh,27604,35.808541,-78.542216,1631,245000
28,condo,Raleigh,27604,35.787586,-78.635179,1545,524900
29,single_family,Raleigh,27604,35.803,-78.610635,1627,498000
30,condo,Raleigh,27604,35.812175,-78.54475,1444,225000
31,condo,Raleigh,27604,35.814675,-78.540478,1504,229900
32,single_family,Raleigh,27604,35.793246,-78.623656,1080,435000
33,single_family,Raleigh,27604,35.797819,-78.618497,776,349900
34,single_family,Raleigh,27604,35.81498,-78.565486,2408,300000
35,single_family,Raleigh,27604,35.791361,-78.630745,1248,500000
36,condo,Raleigh,27604,35.794304,-78.633614,1137,325000
37,single_family,Raleigh,27604,35.815841,-78.564119,2351,274900
38,single_family,Raleigh,27604,35.810202,-78.545923,1752,259900
39,single_family,Raleigh,27604,35.809802,-78.580508,1032,189500
40,condo,Raleigh,27604,35.840285,-78.581903,1187,155000
41,condo,Raleigh,27604,35.840185,-78.581933,1187,155000
42,single_family,Raleigh,27604,35.815803,-78.541661,1636,250000
43,single_family,Raleigh,27604,35.808725,-78.559661,1425,235000
44,single_family,Raleigh,27604,35.835019,-78.594389,1985,308000
45,single_family,Raleigh,27604,35.820703,-78.579438,1578,264900
46,single_family,Raleigh,27604,35.80703,-78.549147,2510,350900
47,single_family,Raleigh,27604,35.807923,-78.542782,1509,250000
48,condo,Raleigh,27604,35.845559,-78.595886,2335,144900
49,single_family,Raleigh,27604,35.817781,-78.540921,6040,782100
50,single_family,Raleigh,27604,35.815208,-78.570901,2346,303000
51,condo,Raleigh,27604,35.810885,-78.541884,1387,185000
52,single_family,Raleigh,27604,35.824949,-78.60074,2011,315000
53,condo,Raleigh,27604,35.838933,-78.582613,820,125000
54,single_family,Raleigh,27604,35.793031,-78.619595,1526,579000
55,single_family,Raleigh,27604,35.798106,-78.631339,924,349900
56,single_family,Raleigh,27604,35.833146,-78.57763,1357,195000
57,single_family,Raleigh,27604,35.827885,-78.579241,1475,240000
58,condo,Raleigh,27604,35.810916,-78.543166,1254,180000
59,land,Raleigh,NA,35.815265,-78.569381,NA,159000
60,condo,Raleigh,27604,35.820852,-78.567458,1270,195000
61,multi_family,Raleigh,27604,35.792844,-78.628673,2684,499000
62,condo,Raleigh,27604,35.794304,-78.633614,1075,275000
63,single_family,Raleigh,27604,35.820118,-78.561801,640,55000
64,land,Raleigh,NA,35.827543,-78.566535,NA,80000
65,single_family,Raleigh,27604,35.814582,-78.574008,3669,499000
66,land,Raleigh,NA,35.835491,-78.500647,NA,299900
67,land,Raleigh,NA,35.799146,-78.582804,NA,280000
68,single_family,Raleigh,27604,35.789448,-78.621131,2606,747000
69,land,Raleigh,NA,35.834377416,-78.50099067,NA,150000
70,land,Raleigh,NA,35.835463,-78.498142,NA,150000
71,land,Raleigh,NA,35.834996,-78.498518,NA,100000
