,prop_type,city,postal_code,lat,lon,size (sqft),price
0,single_family,Litchfield,03051,42.764203503,-71.44232973,3040,699900
1,single_family,Hudson,03051,42.780580369,-71.43187223,2091,359900
2,single_family,Hudson,03051,42.753052731,-71.40937854,2440,639900
3,single_family,Hudson,03051,42.753029097,-71.40941072,2440,639900
4,multi_family,Hudson,03051,42.804553,-71.367341,2756,469900
5,condo,Hudson,03051,42.772037155,-71.4022401,1760,309900
6,single_family,Hudson,03051,42.767399,-71.420393,2216,415000
7,condo,Hudson,03051,42.778205505,-71.39452184,1380,289900
8,single_family,Hudson,03051,42.750983,-71.435965,2256,439900
9,condo,Hudson,03051,42.779104849,-71.45171706,2544,439900
10,single_family,Hudson,03051,42.752973951,-71.40930344,2440,624900
11,single_family,Hudson,03051,42.753044853,-71.40936781,3026,692400
12,condo,Hudson,03051,42.78025,-71.451257,1560,414900
13,multi_family,Hudson,03051,42.762723,-71.43405,1920,445000
14,condo,Hudson,03051,42.757174551,-71.42784058,1848,274900
15,land,Hudson,NA,42.792071,-71.382773,NA,399000
16,land,Hudson,NA,42.792867,-71.383678,NA,169000
17,condo,Hudson,03051,42.760911737,-71.39194618,1866,449900
18,land,Hudson,NA,42.730548,-71.408864,NA,279000
19,land,Hudson,NA,42.816055,-71.393253,NA,499900
20,land,Hudson,NA,42.752197,-71.427804,NA,299000
21,land,Hudson,NA,42.768708826,-71.41346925,NA,759000
22,land,Hudson,NA,42.771151,-71.443065,NA,460000
23,land,Hudson,NA,42.768511,-71.410466,NA,325000
24,land,Hudson,NA,42.768427207,-71.39210507,NA,650000
25,multi_family,Hudson,03051,42.770207,-71.441606,2000,625000
26,single_family,Hudson,03051,42.772096,-71.446645,7000,845000
27,multi_family,Hudson,03051,42.772096,-71.446645,7000,845000
28,multi_family,Hudson,03051,42.770207,-71.441606,2000,625000
29,land,Hudson,NA,42.813156,-71.398199,NA,65000
